#{"t_start": 1764555016.78152, "env_id": "None"}
r,l,t
29.050536,1000,0.938556
18.754623,1000,2.646017
28.683156,1000,4.255098
89.410376,1000,5.829681
3.497238,1000,7.437541
8.126891,1000,9.125221
9.350355,1000,10.850712
23.261014,1000,12.688759
177.798447,1000,14.569181
142.046189,1000,16.305994
13.794841,1000,23.798737
149.720651,1000,25.489035
196.345964,1000,27.160777
226.511471,1000,28.79006
140.766235,1000,30.232272
165.107918,1000,31.48683
132.670793,1000,33.066701
151.32522,1000,34.79606
216.217497,1000,36.334934
140.78255,1000,37.996177
143.26245,1000,44.466542
162.388007,1000,46.165988
152.299533,1000,47.792599
165.230308,1000,49.653792
152.505068,1000,51.535573
168.611036,1000,53.285819
142.249853,1000,55.064214
192.267788,1000,56.784649
201.723057,1000,58.204343
261.842189,1000,59.816797
190.077074,1000,66.394786
160.627878,1000,68.105667
156.707016,1000,69.762372
174.104303,1000,71.517519
151.658663,1000,73.090211
145.132316,1000,74.676536
179.275444,1000,76.29883
162.60114,1000,78.030772
150.280014,1000,79.749908
155.678842,1000,81.411876
158.913514,1000,88.897012
176.241299,1000,90.63565
185.16394,1000,91.308955
176.786386,1000,92.780513
230.705291,1000,94.277826
239.478797,1000,95.700477
226.505172,1000,97.436482
191.227898,1000,99.179677
267.788492,1000,100.908737
254.33768,1000,102.648784
293.201413,1000,109.422394
329.993499,1000,111.018023
202.632086,1000,112.618981
269.971622,1000,113.922359
304.287779,1000,115.545535
229.984592,1000,117.125374
195.303933,1000,118.865496
257.03948,1000,120.605993
227.738661,1000,122.273567
209.182597,1000,123.746417
268.15282,1000,130.588656
256.94967,1000,132.142802
266.573303,1000,133.743549
211.702361,1000,135.368145
266.358727,1000,137.080113
281.454727,1000,138.859482
248.034789,1000,140.774533
308.301283,1000,142.550983
319.357722,1000,144.276495
247.290981,1000,146.267421
241.817065,1000,153.770866
170.248285,1000,155.32428
281.328159,1000,156.741421
278.986074,1000,158.391518
206.274054,1000,159.900873
286.619392,1000,161.369981
278.937447,1000,162.88906
272.571753,1000,164.102534
298.600572,1000,165.572586
293.128155,1000,167.177759
273.82381,1000,174.584005
292.683771,1000,176.302738
229.628464,1000,177.969532
302.621039,1000,179.509229
380.015404,1000,181.273525
261.879599,1000,182.327799
320.933095,1000,184.046193
217.467515,1000,185.718612
261.132053,1000,187.296866
231.738269,1000,188.85748
195.549343,1000,196.043671
204.562829,1000,197.717879
288.140202,1000,199.321874
283.694988,1000,200.903621
189.717089,1000,202.615846
261.008975,1000,204.149286
255.267178,1000,205.792822
299.573281,1000,207.364624
296.449397,1000,208.925743
294.296023,1000,210.48286
338.378806,1000,217.342702
428.079955,1000,218.906783
330.451715,1000,220.56347
283.771715,1000,222.318536
212.398032,1000,223.894748
295.868031,1000,225.246971
306.319493,1000,226.945882
276.853389,1000,228.570194
266.684351,1000,230.031444
285.594962,1000,231.530596
234.569791,1000,238.970556
256.093262,1000,240.678998
271.998013,1000,242.267862
242.990871,1000,243.794371
222.772194,1000,245.603959
266.813707,1000,247.424031
230.423253,1000,249.098545
259.989857,1000,250.649873
260.15412,1000,252.259037
295.978558,1000,253.729848
316.861097,1000,261.104241
252.991843,1000,262.710702
300.450818,1000,264.3781
278.145098,1000,266.013496
248.478481,1000,267.631784
311.832934,1000,269.302269
281.229667,1000,271.067859
320.932351,1000,271.938124
359.258581,1000,273.6819
299.516852,1000,275.195744
298.674184,1000,282.758909
388.317566,1000,284.378048
355.336813,1000,285.876338
386.09237,1000,287.453151
318.372734,1000,289.045538
275.993126,1000,290.722635
273.592557,1000,292.291164
324.477712,1000,293.848394
377.386184,1000,295.459025
344.138341,1000,297.1521
313.699844,1000,305.041693
401.373362,1000,306.625459
266.019635,1000,308.159261
311.277607,1000,309.304906
304.288229,1000,310.903876
299.859066,1000,312.323339
287.372046,1000,313.880912
312.589117,1000,315.488486
423.119498,1000,317.137108
315.100913,1000,318.796893
