#{"t_start": 1764554685.542304, "env_id": "None"}
r,l,t
25.793474,1000,2.687947
140.848988,1000,4.463482
180.010093,1000,6.076784
22.693686,1000,7.470877
67.863658,1000,9.293841
110.154542,1000,10.746511
9.585797,1000,12.297874
159.112933,1000,13.545251
197.888744,1000,15.100135
177.131313,1000,16.374531
201.820332,1000,24.623317
170.057933,1000,26.22392
228.93914,1000,27.85393
232.877698,1000,29.551998
179.669006,1000,31.181283
149.77783,1000,32.746479
190.378011,1000,34.137
160.362892,1000,35.727848
180.709482,1000,37.421213
242.638425,1000,38.950257
238.896558,1000,45.885831
162.393082,1000,47.511873
183.625798,1000,49.307866
270.522478,1000,51.124567
184.419643,1000,52.726843
208.59298,1000,54.451333
174.478874,1000,55.993924
216.909592,1000,57.688435
249.600767,1000,59.458741
245.04659,1000,61.287823
263.378831,1000,68.8366
230.274601,1000,70.715122
211.320653,1000,72.633307
233.840441,1000,74.431486
248.008139,1000,76.317621
236.717294,1000,78.056784
235.182607,1000,79.745527
232.005705,1000,81.450929
255.433459,1000,83.048473
289.065715,1000,84.295748
256.764343,1000,91.736171
291.672389,1000,93.472837
298.121426,1000,94.271376
266.456893,1000,95.998528
284.508361,1000,97.570358
309.929069,1000,99.063823
276.655701,1000,100.256655
337.221116,1000,101.842434
279.100707,1000,103.525943
324.247526,1000,105.251937
222.877004,1000,112.947603
400.449839,1000,114.607953
366.860929,1000,116.467281
304.867483,1000,118.097606
291.034003,1000,119.57967
305.313591,1000,121.194005
296.666368,1000,122.841091
351.301643,1000,124.489062
271.298042,1000,126.137137
247.932113,1000,127.752067
345.223065,1000,135.350197
275.079539,1000,137.020033
264.938386,1000,139.002598
258.561745,1000,140.712268
283.195847,1000,142.498219
333.260035,1000,143.936251
316.102831,1000,145.191885
258.252912,1000,146.889873
282.315243,1000,148.631397
286.676625,1000,150.152866
320.378565,1000,157.768207
341.653732,1000,159.32069
323.245148,1000,161.017016
294.502845,1000,162.786677
329.166798,1000,164.728844
394.092357,1000,166.744356
303.383393,1000,168.27206
314.628165,1000,169.793707
307.415337,1000,171.390141
328.830539,1000,172.842598
340.896233,1000,180.104093
336.134623,1000,181.864836
356.834353,1000,183.354345
330.64286,1000,184.84889
440.201667,1000,186.378626
431.091439,1000,187.171413
371.230499,1000,188.844225
422.796627,1000,190.561024
425.487205,1000,192.018869
439.563917,1000,193.863955
422.755266,1000,201.801676
391.639718,1000,203.342033
427.392398,1000,204.976049
439.275489,1000,206.574649
374.799119,1000,208.332293
444.036438,1000,210.020144
448.112552,1000,211.66011
430.575759,1000,213.221398
487.864439,1000,214.732805
496.735216,1000,216.400973
406.348235,1000,224.273911
453.757222,1000,225.933997
446.678143,1000,227.477959
447.324185,1000,229.134875
445.716377,1000,230.543291
479.094253,1000,232.092078
485.739362,1000,233.746344
440.442878,1000,235.314875
399.778052,1000,237.080694
440.184996,1000,238.626351
430.408118,1000,245.783826
404.913956,1000,247.519487
427.186123,1000,249.182351
401.885309,1000,250.942945
464.924794,1000,252.41371
447.272406,1000,254.014856
501.81194,1000,255.541889
440.202602,1000,256.960495
452.780253,1000,258.79631
370.26895,1000,260.462834
314.314324,1000,267.959195
431.992863,1000,269.701119
436.12159,1000,270.871929
404.967208,1000,272.519852
379.846504,1000,274.222079
417.000787,1000,275.79154
364.706127,1000,277.31976
499.519499,1000,278.031911
446.88875,1000,279.551508
504.341079,1000,281.418959
569.087486,1000,289.321054
520.41192,1000,290.995977
476.576431,1000,292.698277
515.678112,1000,294.250398
612.297516,1000,295.764673
546.020411,1000,297.171615
491.465792,1000,298.806623
593.230709,1000,300.395252
553.488043,1000,302.070613
571.156215,1000,303.561202
507.514366,1000,310.390538
705.725389,1000,312.172523
498.024298,1000,314.042388
483.311684,1000,315.800909
630.86429,1000,317.600194
339.384686,1000,319.345974
494.101135,1000,320.952361
610.068227,1000,322.461525
528.490729,1000,323.953372
783.034568,1000,325.323739
